date,value
Wed Jan 01 2014 00:00:00 GMT+0100 (CET),0.5294161683414131
Sat Jan 11 2014 00:00:00 GMT+0100 (CET),0.882103170035407
Tue Jan 21 2014 00:00:00 GMT+0100 (CET),0.7863162045832723
Fri Jan 31 2014 00:00:00 GMT+0100 (CET),0.010260762879624963
Mon Feb 10 2014 00:00:00 GMT+0100 (CET),0.24034723662771285
Thu Feb 20 2014 00:00:00 GMT+0100 (CET),0.6179921033326536
Sun Mar 02 2014 00:00:00 GMT+0100 (CET),0.2359965369105339
Wed Mar 12 2014 00:00:00 GMT+0100 (CET),0.0437985158059746
Sat Mar 22 2014 00:00:00 GMT+0100 (CET),0.732651750324294
Tue Apr 01 2014 00:00:00 GMT+0200 (CEST),0.40305691631510854
Fri Apr 11 2014 00:00:00 GMT+0200 (CEST),0.9710526859853417
Mon Apr 21 2014 00:00:00 GMT+0200 (CEST),0.015340786892920732
Thu May 01 2014 00:00:00 GMT+0200 (CEST),0.3037790621165186
Sun May 11 2014 00:00:00 GMT+0200 (CEST),0.6036543268710375
Wed May 21 2014 00:00:00 GMT+0200 (CEST),0.7168882836122066
Sat May 31 2014 00:00:00 GMT+0200 (CEST),0.02204151195473969
Tue Jun 10 2014 00:00:00 GMT+0200 (CEST),0.3336188602261245
Fri Jun 20 2014 00:00:00 GMT+0200 (CEST),0.33351662661880255
Mon Jun 30 2014 00:00:00 GMT+0200 (CEST),0.747458788799122
Thu Jul 10 2014 00:00:00 GMT+0200 (CEST),0.22177462256513536
Sun Jul 20 2014 00:00:00 GMT+0200 (CEST),0.1463444558903575
Wed Jul 30 2014 00:00:00 GMT+0200 (CEST),0.9129210433457047
Sat Aug 09 2014 00:00:00 GMT+0200 (CEST),0.13695030100643635
Tue Aug 19 2014 00:00:00 GMT+0200 (CEST),0.513658408774063
Fri Aug 29 2014 00:00:00 GMT+0200 (CEST),0.6096939598210156
Mon Sep 08 2014 00:00:00 GMT+0200 (CEST),0.35317726363427937
Thu Sep 18 2014 00:00:00 GMT+0200 (CEST),0.2980608029756695
Sun Sep 28 2014 00:00:00 GMT+0200 (CEST),0.9753927339334041
Wed Oct 08 2014 00:00:00 GMT+0200 (CEST),0.24175442149862647
Sat Oct 18 2014 00:00:00 GMT+0200 (CEST),0.5629643455613405
Tue Oct 28 2014 00:00:00 GMT+0100 (CET),0.4249205600935966
Fri Nov 07 2014 00:00:00 GMT+0100 (CET),0.9663055208511651
Mon Nov 17 2014 00:00:00 GMT+0100 (CET),0.6798694378230721
Thu Nov 27 2014 00:00:00 GMT+0100 (CET),0.7903090827167034
Sun Dec 07 2014 00:00:00 GMT+0100 (CET),0.07544272788800299
Wed Dec 17 2014 00:00:00 GMT+0100 (CET),0.8193455615546554
Sat Dec 27 2014 00:00:00 GMT+0100 (CET),0.2995653753168881
